username,userlink,wbtext,time,likes,response,sentiment_category,sentiment_score
小组赛乌拉圭,https://weibo.com/7350141853,史上第一个上榜的华语男歌手🐮,3月9日 23:40,3255,52,0,0.3933
捧着风的芷沅,https://weibo.com/3929881282,恭喜肖战 恭喜光点 未来我们一起向光而行@X玖少年团肖战DAYTOY,3月9日 23:37,3226,0,1,0.9191
肖肖兔儿,https://weibo.com/5681297392,恭喜肖战原来光点英文名字是Made to love,3月9日 23:39,3100,5,1,0.8265
你会有广阔的天空_,https://weibo.com/5324469213,厉害了,3月9日 23:27,3281,0,1,0.8846
大白兔奶糖-Olivia,https://weibo.com/5857347095,恭喜肖战，恭喜光点！,3月9日 23:26,2898,0,1,0.8056
哇_逍遥快活也,https://weibo.com/5242053453,丢脸丢到国外,3月9日 23:27,5051,1149,-1,0.1441
QaLiLija,https://weibo.com/5077357548,肖战牛,3月9日 23:36,3200,0,1,0.8262
小月还是月月子,https://weibo.com/5523129368,感觉好像很厉害的样子唯一一个华语歌手的单曲诶！,3月9日 23:40,2997,10,0,0.5948
Yumyu_,https://weibo.com/2682482833,恭喜,3月9日 23:26,3310,0,1,0.7884
晴天WITH如若安好,https://weibo.com/1793116177,是我们中国的艺人，恭喜肖战,3月9日 23:39,3005,0,1,0.7691
糖不捞,https://weibo.com/1430955633,太厉害了 恭喜光点 希望肖战能出更多的好作品,3月9日 23:38,3000,0,1,0.9122
素影花簪,https://weibo.com/6480683162,这就是实绩！谁也夺不走的远方，是你的@X玖少年团肖战DAYTOY 肖战#肖战# 光点！#肖战光点国际唱片协会全球单曲榜第七#,3月10日 00:22,3120,0,1,0.7532
山河无恙Diction,https://weibo.com/7374129925,恭喜@X玖少年团肖战DAYTOY 的光点获誉,3月9日 23:28,2991,0,1,0.9244
月儿簪,https://weibo.com/7429375875,光点没在海外平台上线或发售，缺失海外流媒折算销量的优势依然强势入榜，纯实销真金实银打到第七，成为建榜以来唯一入榜的华语男歌手，牛逼坏了！,3月9日 23:47,2828,0,-1,0.2699
xz-梦,https://weibo.com/6195835660,恭喜肖战，我们生而为爱，我们为爱而生@X玖少年团肖战DAYTOY,3月9日 23:42,2939,0,1,0.9278
今生纵马走天涯,https://weibo.com/6119742361,光点无海外发行的前提下 获得第七， 歌手肖战@X玖少年团肖战DAYTOY  未来可期,3月9日 23:42,2962,0,1,0.863
那痕迹是心动,https://weibo.com/5997224461,恭喜肖战,3月9日 23:36,2956,0,1,0.7932
想对95号星球许个愿,https://weibo.com/7390429402,恭喜肖战啊,3月9日 23:33,3495,0,1,0.8127
吃土少女追剧中,https://weibo.com/6035049432,有中国人了？！肖战牛逼！！,3月9日 23:41,2957,183,0,0.6478
信你给的幸福,https://weibo.com/1946059025,恭喜肖战，实至名归,3月9日 23:26,823,8,0,0.6144
越过谎言拥抱你XZ,https://weibo.com/7417002579,#肖战IFPI全球单曲榜第七#这个榜单是什么水平，这相当于肖战拍了一部电影成为2020年全球电影票房第七名一样，而且这是权威机构权威榜单盖章，成绩扎实，一点不注水，而且他还是这个榜单有史以来第一个前十中国华语男歌手,3月10日 00:30,2926,0,0,0.6839
追光小依,https://weibo.com/2116470204,恭喜🎉 肖战，恭喜光点,3月9日 23:37,2945,0,1,0.7927
保温杯V5,https://weibo.com/6400226629,肖战牛逼,3月9日 23:39,2940,0,1,0.785
静静有个小菇凉JG,https://weibo.com/6538168715,恭喜肖战恭喜光点，我们点点公主🐮🍺,3月9日 23:39,2934,0,1,0.8257
木辛痣梓,https://weibo.com/5974023570,恭喜肖战，恭喜光点,3月9日 23:40,2674,0,1,0.7909
挚爱小筱璇,https://weibo.com/xiaoxiaoxuan369,在一众欧美面孔中，肖战的亚洲面孔显得格外突出恭喜肖战作品《光点》取得如此好成绩,3月9日 23:50,2584,0,1,0.8681
-是酒酒-,https://weibo.com/2946442394,恭喜肖战！！！,3月9日 23:39,2429,0,1,0.821
哥你好漂亮,https://weibo.com/1776326050,恭喜肖战和光点！！期待更多的我们华语歌手冲向世界,3月9日 23:38,2168,0,1,0.8754
大海leaf,https://weibo.com/willlovegengforever,肖战好棒！！！,3月9日 23:38,1867,0,1,0.8983
等你的每个季节,https://weibo.com/3264043610,恭喜肖战光点，很好听！,3月9日 23:37,1804,0,1,0.8454
一眼万年69665,https://weibo.com/7465881986,恭喜光点，恭喜肖战，We are made to love,3月10日 00:06,1726,0,1,0.89
战战与与与,https://weibo.com/5458222886,恭喜肖战！不服你自己开个榜让其他人上，我们没有意见！谢谢！,3月9日 23:39,1699,2,1,0.8323
李阿豆李阿豆,https://weibo.com/5335712927,恭喜肖战,3月9日 23:38,712,0,1,0.7932
容易虫虫,https://weibo.com/6025711042,恭喜肖战！恭喜光点！冲呀！,3月9日 23:26,1299,0,1,0.8286
珍珠脆皮小泡芙,https://weibo.com/1782957235,唯一入榜前十的华语男歌手！恭喜肖战,3月9日 23:52,1334,0,0,0.5844
小朋友你不要说我黑,https://weibo.com/6222905886,啊这，不得不说肖战粉丝挺有钱的,3月9日 23:44,1896,270,1,0.8034
柒柒chii,https://weibo.com/waichii,恭喜肖战,3月9日 23:37,1202,1,1,0.7932
Love燕尾蝶L,https://weibo.com/2753629027,肖战成为该榜历史上唯一入榜的华语男歌手。 ​​​我必须说一句肖战厉害,3月10日 00:02,1128,0,0,0.4847
后羿的羿不是后裔的裔,https://weibo.com/1460808464,哇，我们歌手肖战好厉害#肖战光点2020全球单曲畅销榜第七#,3月9日 23:49,1079,0,1,0.7966
时光掩藏不了的秘密,https://weibo.com/6559144329,恭喜肖战We are made to love!! 💕💕,3月9日 23:44,999,0,1,0.8913
豆友盛夏晚晴天,https://weibo.com/7382521544,恭喜光点，恭喜肖战，We are made to love,3月10日 00:08,940,2021,1,0.89
只等春来到,https://weibo.com/shineeworldkey,恭喜肖战恭喜《光点》,3月9日 23:42,873,0,1,0.7178
波板少男,https://weibo.com/2499730407,不得不感叹中国粉丝的消费力多强以及审美多差。,3月10日 10:32,1273,119,-1,0.1861
豆友盛夏晚晴天,https://weibo.com/7382521544,恭喜光点，恭喜肖战@X玖少年团肖战DAYTOY,3月10日 00:09,808,0,1,0.91
桃桃你压到我头发啦,https://weibo.com/6786895495,恭喜肖战,3月9日 23:39,660,0,1,0.7932
瞳零DAYTOY,https://weibo.com/6140363482,肖战好棒！,3月9日 23:37,607,0,1,0.8918
木易木-y,https://weibo.com/5390795042,恭喜肖战，继续努力,3月9日 23:32,555,0,1,0.8665
沉默DAYTOY,https://weibo.com/7342785944,恭喜肖战，继续努力吧，真的很好听的一首歌。每天上下班都要听的歌,3月9日 23:56,475,0,1,0.8399
不系之舟zsn,https://weibo.com/5813490407,恭喜肖战啦，光点真的是超级正能量阳光的歌曲,3月10日 00:05,428,0,1,0.8705
肖豆汁儿,https://weibo.com/6059143299,恭喜肖战,3月10日 07:12,373,0,1,0.7932
DRACHOO,https://weibo.com/6028018000,抄袭曲不丢人吗？,3月10日 10:51,579,64,-1,0.1442
芊儿有时,https://weibo.com/2281306973,太棒了！恭喜肖战,3月9日 23:43,286,0,1,0.9022
爱笑的兔子先生DAYTOY,https://weibo.com/2548545911,恭喜肖战恭喜光点！歌手肖战牛,3月9日 23:56,313,0,1,0.755
顾笙DAYTOY,https://weibo.com/5603124378,恭喜肖战 我们一起向光而行！,3月10日 00:23,285,0,1,0.8528
一只空kk,https://weibo.com/5640729187,#肖战光点2020全球单曲畅销榜第七# 上榜所有的音乐人都很优秀，《光点》做为2020唯一入榜前10的华语数字单曲，可以说是非常出色了，恭喜肖战！,3月10日 00:02,285,0,1,0.8872
越过谎言拥抱你XZ,https://weibo.com/7417002579,恭喜恭喜肖战@X玖少年团肖战DAYTOY 光点是道光。。。也是爱意汇聚，爱心延续的象征。。#肖战光点2020全球单曲畅销榜第七# 肖战光点#肖战光点ifpi全球单曲榜第七#,3月10日 00:28,242,0,1,0.9217
樂吖无限,https://weibo.com/2489984077,恭喜肖战，恭喜光点,3月9日 23:38,179,0,1,0.7909
一眼万年69665,https://weibo.com/7465881986,恭喜肖战恭喜光点，继续努力！,3月10日 00:04,158,0,1,0.8468
张单琨杰,https://weibo.com/7159284090,#肖战光点# 恭喜光点，恭喜肖战，We are made to love//@不改名没会员:上榜所有的音乐人都很优秀，为肖战光点上榜骄傲#肖战#,3月9日 23:31,146,0,1,0.8708
123-向钱看Seanfly,https://weibo.com/3240834034,恭喜肖战,3月10日 07:36,116,0,1,0.7932
Juxtapose2Sean,https://weibo.com/6459685280,官方认证chinese superstar,3月10日 10:29,123,0,1,0.816
KiyoKagome,https://weibo.com/7306741035,恭喜肖战，we are made to love@X玖少年团肖战DAYTOY,3月9日 23:42,120,0,1,0.9236
一肖hen倾城,https://weibo.com/3631109771,恭喜肖战，好棒啊,3月10日 01:04,66,0,1,0.9047
小狮子乐哈哈,https://weibo.com/3249433680,#肖战# 恭喜肖战！作为肖战的粉丝很自豪！加油肖战！继续做最好的自己吧！爱肖战！@X玖少年团肖战DAYTOY,3月10日 07:11,104,0,1,0.9269
熙熙攘攘牛关道,https://weibo.com/5665080072,IFPI呀，我的天，恭喜盆栽哥，恭喜肖战，开心且自豪啊,3月10日 00:01,86,0,1,0.9123
gayjayboy,https://weibo.com/jaygaga,一首靠刷榜起来的歌，路人根本就没有听过的歌,3月10日 10:48,135,14,-1,0.253
羡煞我也V,https://weibo.com/2721200181,肖战成为该榜历史上唯一入榜的华语男歌手。 ​​这是文化输出了吧，反正我觉得很牛逼啊,3月10日 12:08,70,0,1,0.7827
打工恰饭人,https://weibo.com/5837777596,太强了战神！,3月9日 23:31,63,1,1,0.9268
只求有点人性,https://weibo.com/7034731696,#肖战光点2020全球单曲畅销榜第七# 真棒，肖战，光点都棒棒哒@X玖少年团肖战DAYTOY,3月9日 23:42,74,0,1,0.9203
嘴角那抹阳光2015,https://weibo.com/1952268612,恭喜肖战，光点，继续努力#肖战光点2020全球单曲畅销榜第七#,3月9日 23:49,73,0,1,0.8697
萍水相逢_不会骑车,https://weibo.com/6330273014,#肖战光点IFPI全球单曲榜第七#xz#肖战光点国际唱片协会全球单曲榜第七# 光点汇聚成光芒！恭喜肖战星光璀璨，光芒闪耀@X玖少年团肖战DAYTOY ,3月10日 10:22,52,0,1,0.9056
二分间的冒险StarRock,https://weibo.com/7504563358,恭喜歌手肖战，万千光点，汇聚为银河的斑斓。万千爱意，交织成前行的力量。一切情谊，感念于心，未来依然会稳扎稳打，并肩同行。@X玖少年团肖战DAYTOY ​​​,3月10日 07:46,51,0,1,0.9262
越过谎言拥抱你XZ,https://weibo.com/7417002579,这个可以吹一下的水平[牛牛哒][牛牛哒][牛牛哒] #肖战光点国际唱片协会全球单曲榜第七# ❤️#肖战IFPI全球单曲榜第七#恭喜光点！恭喜肖战！  @X玖少年团肖战DAYTOY,3月10日 10:07,37,0,1,0.9926
唯爱65916,https://weibo.com/7465222138,恭喜肖战，光点好听,3月10日 00:36,56,0,1,0.8098
噗噗君10086,https://weibo.com/7530402053,#肖战# 上榜所有的音乐人都很优秀，为肖战光点上榜骄傲，恭喜肖战@X玖少年团肖战DAYTOY 。#肖战光点2020全球单曲畅销榜第七#,3月9日 23:58,52,0,1,0.9182
梧桐无语了,https://weibo.com/2882572890,恭喜肖战，恭喜光点,3月10日 00:19,50,0,1,0.7909
只想嚛覀,https://weibo.com/7198326437,哇哇哇！恭喜肖战光点,3月9日 23:39,54,0,1,0.8042
吃盐很nice,https://weibo.com/dianalee630,光点好棒啊，恭喜肖战,3月10日 07:17,22,0,1,0.8838
是拜拜雪皇后吖,https://weibo.com/3170915202,恭喜肖战@X玖少年团肖战DAYTOY ！,3月10日 09:35,36,0,1,0.9168
Emilymarch3的闲暇时光,https://weibo.com/2173679882,唯一入榜的华语男歌手，肖战。#肖战光点ifpi全球单曲榜第七# 在没有【海外流媒】的情况下，歌手肖战真的厉害👍太优秀了！@X玖少年团肖战DAYTOY #肖战#,3月10日 02:07,30,0,1,0.8976
树欲静风也止,https://weibo.com/7485213123,恭喜肖战，恭喜光点没有最好，只有更好！肖战，加油@X玖少年团肖战DAYTOY,3月10日 00:09,35,0,1,0.903
破秦儿破摔咯,https://weibo.com/haky0812,国外的粉丝也出一咬三吗,3月10日 10:59,47,1,-1,0.2792
阿萝月,https://weibo.com/5395344950,恭喜光点，恭喜肖战@X玖少年团肖战DAYTOY,3月10日 06:45,29,0,1,0.91
Catherine面包圈儿,https://weibo.com/5470192737,恭喜@X玖少年团肖战DAYTOY 恭喜《光点》“We are made to love.” 无论是雨或晴，我们向爱而行。,3月10日 09:56,30,0,1,0.9245
子夜蔓蔓,https://weibo.com/2787987933,恭喜肖战！！破界跨界闯世界,3月9日 23:53,36,0,0,0.4824
败家小女孩子1005,https://weibo.com/5634154261,恭喜肖战@X玖少年团肖战DAYTOY,3月10日 00:37,19,0,1,0.9166
Stella_我是多担粉,https://weibo.com/keermicky,#肖战# 热烈祝贺！ @X玖少年团肖战DAYTOY,3月10日 00:24,30,1,1,0.9244
梦笙歌DAYTOY,https://weibo.com/3006490627,恭喜肖战，爱是光点，光点汇聚。 来看看肖战单曲《光点》公益之路,45分钟前,18,0,1,0.8941
种菜大队长,https://weibo.com/6008257866,不就是因为专辑便宜又加上强制粉丝买专辑吗,3月10日 10:11,42,5,0,0.3234
小花仙妖妖,https://weibo.com/6862423361,想看肖哥点点子的舞台，有希望吗，看看可怜的孩子吧,3月10日 09:46,22,1,0,0.5509
萌伢木木-,https://weibo.com/5516223437,说听不出来的耳朵是出问题了咩🙏🙏，笑死，但愿别给外国网友听见中国某个小伙发的上榜的歌居然能听出来好几首,52分钟前,33,3,-1,0.1781
在花间行走,https://weibo.com/6149535156,恭喜肖战！歌手肖战继续加油！,3月10日 00:04,23,0,1,0.862
榕树下的兔子z,https://weibo.com/6377872392,上榜所有的音乐人都很优秀，为肖战光点上榜骄傲,3月10日 11:17,20,0,1,0.88
Noemiii_Sean,https://weibo.com/7472272838,肖战真厉害,3月10日 01:00,24,0,1,0.7314
田园芒果,https://weibo.com/1063883262,这么棒，恭喜肖战,3月10日 01:56,21,0,1,0.8929
jd顺顺兔兔,https://weibo.com/6630913098,恭喜肖战！恭喜《光点》！未来继续努力，加油！,3月10日 06:19,18,0,1,0.9013
Cycil灬,https://weibo.com/2692255605,丢人,31分钟前,20,0,-1,0.1352
愿你的善良遍地开花,https://weibo.com/7454986159,恭喜@X玖少年团肖战DAYTOY 恭喜《光点》,3月10日 01:41,11,0,1,0.9153
TTMMbabyDAYTOY,https://weibo.com/6050627749,恭喜肖战！,3月10日 00:06,18,0,1,0.8183
我也不知道改什么名字好_,https://weibo.com/5949183509,真给咱们中国人争光！！！！！！,3月10日 12:08,8,2,0,0.4947
悟云80,https://weibo.com/7473020251,恭喜肖战，恭喜光点,3月10日 11:04,12,0,1,0.7909
蜜萌糖糖兔,https://weibo.com/7521260243,恭喜肖战恭喜光点,3月10日 10:17,13,0,1,0.7366
沉烟疏雨滴梧桐_DT,https://weibo.com/2175165740,#肖战光点国际唱片协会全球单曲榜第七# 唯一入榜的华语男歌手恭喜肖战恭喜光点,3月10日 07:52,12,0,0,0.5579
想念1103,https://weibo.com/mengzhongshuiling,恭喜肖战，光点汇聚，与爱同行！,3月10日 10:19,11,0,1,0.9102
爱舞爱-爱肖战,https://weibo.com/7489463773,恭喜肖战@X玖少年团肖战DAYTOY 恭喜所有上榜的优秀音乐人,3月10日 12:04,7,0,1,0.9196
赤霞飞,https://weibo.com/7524218873,恭喜肖战 ！恭喜光点 ！未来我们一起向光而行！,3月10日 10:46,8,0,1,0.8442
肖战战呀哦,https://weibo.com/5831424080,恭喜肖战！！！恭喜《光点》！！！！点点子加油！！！！冲鸭@X玖少年团肖战DAYTOY,3月10日 10:30,9,0,1,0.9213
满足--DAYTOY,https://weibo.com/5289069844,恭喜战战 恭喜光点,44分钟前,5,0,1,0.801
若璃_桃桃DAYTOY,https://weibo.com/6488142005,哇！这么多年了唯一一个进前十的中国人欸！恭喜肖战！恭喜光点！！！,3月10日 11:54,9,0,1,0.7757
阿柴柴米油盐酱醋茶,https://weibo.com/5257256325,啊这,3月10日 11:06,10,0,-1,0.2625
阳光小元子六一,https://weibo.com/7437418497,恭喜肖战，《光点》真好听，继续努力！,3月10日 10:57,9,0,1,0.8684
榕树下的兔子z,https://weibo.com/6377872392,恭喜肖战，恭喜光点,3月10日 10:09,10,0,1,0.7909
上网来放松的,https://weibo.com/5200504191,《策马正少年》在海外发行时登上多个国家和地区iTunes高位！其中2国登顶，6国入榜前十，澳英美三国进入前200！Global Digital Artist Ranking新上榜至126名！ ​​​（国内免费发行的）老是听好多人说别的国家的歌手多厉害，海外的人也喜欢听中国歌手的歌哦,55分钟前,6,0,1,0.9054
咕噜咕噜小苏打,https://weibo.com/5892934074,唐三厉害！！！！哈哈哈哈,59分钟前,5,0,1,0.8959
Shh兔,https://weibo.com/6068800607,恭喜肖战！恭喜光点,3月10日 10:58,6,0,1,0.7833
林二小可可,https://weibo.com/lexcoco,光拂星榆，为爱而声！恭喜肖战光点,3月10日 10:40,4,0,1,0.7689
月亮09706,https://weibo.com/7515188550,恭喜肖战,3月10日 00:14,5,0,1,0.7932
丽姐战神,https://weibo.com/5636751393,恭喜肖战，恭喜点点小公主,3月10日 11:30,5,0,1,0.831
DIRTFT,https://weibo.com/7294471237,恭喜肖战，好厉害,3月10日 12:10,3,0,1,0.8987
DIRTFT,https://weibo.com/7294471237,恭喜肖战，好厉害,3月10日 12:10,3,0,1,0.8987
邵邵53,https://weibo.com/5066941235,恭喜肖战，光点优秀@X玖少年团肖战DAYTOY,3月10日 11:09,6,0,1,0.9273
酿酒的肖兔子,https://weibo.com/5842532876,恭喜肖战！牛,3月10日 10:44,5,0,1,0.8337
肉丸第一战,https://weibo.com/7487938753,肖战就是棒👍🏻,3月10日 10:38,3,0,1,0.8907
寒思凝JANEL,https://weibo.com/1965538187,1933年该榜单成立以来第一位上榜的华语男歌手#肖战光点2020全球单曲畅销榜第七#,3月10日 10:22,5,0,0,0.4413
战战靜靜冲冲冲DAYTOY,https://weibo.com/2805960954,恭喜肖战,3月10日 10:06,3,0,1,0.7932
罗衣619,https://weibo.com/7362662228,恭喜肖战！中国人上榜实属不易！希望听到肖战越来越多的歌！,3月10日 10:04,2,0,1,0.8274
雒星河,https://weibo.com/5545140893,恭喜肖战,3月10日 09:15,6,0,1,0.7932
唯爱余生8,https://weibo.com/7476531657,恭喜肖战光点，肖战加油！,3月10日 08:01,5,0,1,0.8764
不知为爱,https://weibo.com/6421827960,恭喜肖战。十月没什么不好，栗子香味的风贴拂裙角，有我喜欢的阳光，暖烘烘的奶黄包，宽松柔软的针织毛衣，温吞的猫咪，还会有一场只为你而来的庆生@X玖少年团肖战DAYTOY,3月10日 01:31,7,0,1,0.9192
小小浮萍DAYTOY,https://weibo.com/7285717816,恭喜肖战，实至名归！,3月10日 10:23,2,0,0,0.6741
有钱的桃桃97,https://weibo.com/5455261286,恭喜肖战，恭喜光点,3月10日 08:29,5,0,1,0.7909
小鱼儿XQ,https://weibo.com/6494093513,恭喜肖战,54分钟前,2,0,1,0.7932
金刚巨兔丸,https://weibo.com/3820993232,不喜欢看他上榜就花钱把别人买上来啊，很难吗？,3月10日 12:10,3,0,-1,0.144
只等春来到,https://weibo.com/shineeworldkey,恭喜肖战IFPI国际唱片业协会2020年全球数字单曲畅销榜，#肖战# 《光点》第七，榜单第一位入围前十的华语男歌手,3月10日 00:42,8,0,1,0.7096
花骨已埋香,https://weibo.com/7327563952,第一次知道光点点英文名，恭喜肖战,3月9日 23:59,4,0,1,0.7985
这个射手不太冷Sean,https://weibo.com/2154008537,#肖战新歌光点# @X玖少年团肖战DAYTOY,3月9日 23:57,6,0,1,0.8798
alianfyd,https://weibo.com/2832828833,@X玖少年团肖战DAYTOY : 恭喜肖战《光点》，恭喜肖战成为唯一入榜的华语男歌手！,7分钟前,1,0,1,0.8267
毛毛Y56yjzq,https://weibo.com/5894694588,恭喜肖战,20分钟前,1,0,1,0.7932
Grace清泉,https://weibo.com/5870025901,恭喜肖战！,21分钟前,1,0,1,0.8183
千千阙歌的歌,https://weibo.com/5754240821,恭喜肖战！,30分钟前,1,0,1,0.8183
金刚巨兔丸,https://weibo.com/3820993232,太强了吧肖战,3月10日 12:07,2,0,1,0.902
阿吱吱哟,https://weibo.com/6094842912,好家伙！！！恭喜肖战光点！！！,3月10日 11:40,5,0,1,0.7288
田田圈o3o,https://weibo.com/6065396863,恭喜肖战，未来可期,3月10日 10:50,3,0,1,0.8667
carol-夏目,https://weibo.com/3577175907,恭喜歌手肖战，恭喜光点。,3月10日 10:44,3,0,0,0.4576
·南渡·,https://weibo.com/6348744189,恭喜肖战✨ ！𝙒𝙚 𝙖𝙧𝙚 𝙢𝙖𝙙𝙚 𝙩𝙤 𝙡𝙤𝙫𝙚！为爱而生，为爱存在，向爱而行！@X玖少年团肖战DAYTOY ,48分钟前,4,1,1,0.9262
糊逼挂件莫挨帅哥,https://weibo.com/3006572103,谁看了不说一句肖战牛逼,3月10日 00:24,6,0,0,0.4371
x兔伢爱啃红萝卜,https://weibo.com/6512869163,恭喜肖战，恭喜光点，很棒的正能量歌曲，我都心里商场经常都可以听到，真的好好听,3月10日 12:08,5,0,1,0.8981
风在喃我在听陪你在小时光,https://weibo.com/7339998798,恭喜肖战！,3月9日 23:39,7,0,1,0.8183
艾米丽小白_1002,https://weibo.com/5497115760,恭喜肖战，光点不仅好听而且充满意义，我们与爱同行！,51分钟前,2,0,1,0.9127
心之首恒,https://weibo.com/5869313633,恭喜肖战，实至名归！光点好棒！,57分钟前,4,0,1,0.8897
独享安宁dxan,https://weibo.com/7435898221,恭喜肖战@X玖少年团肖战DAYTOY 光点优秀,3月10日 12:09,3,0,1,0.9256
独享安宁dxan,https://weibo.com/7435898221,恭喜肖战@X玖少年团肖战DAYTOY 光点优秀,3月10日 12:09,3,0,1,0.9256
M0L讠,https://weibo.com/7340856863,恭喜光点，恭喜肖战@X玖少年团肖战DAYTOY,3月10日 10:49,3,0,1,0.91
xx兔兔也是很可爱的zz,https://weibo.com/7324315351,恭喜肖战@X玖少年团肖战DAYTOY,3月10日 10:45,3,0,1,0.9166
红逗宝儿,https://weibo.com/7523149738,上榜所有的音乐人都很优秀，为肖战光点上榜骄傲,3月10日 10:43,3,0,1,0.88
橘子酱1122,https://weibo.com/3991309152,中国人上榜了！恭喜恭喜！恭喜肖战！！,3月10日 10:41,5,0,1,0.829
fayeman2021,https://weibo.com/5517016954,盆栽牛逼！！！！！,3月10日 10:40,4,0,0,0.5527
岁月撩人-,https://weibo.com/5516335328,恭喜肖战！贺喜肖战！《光点》走向世界第七，华人第一次获奖！破界跨界闯世界成功！,3月10日 10:21,5,0,1,0.8618
zz的小兔兔628,https://weibo.com/7392155716,肖战优秀！恭喜肖战！,44分钟前,2,0,1,0.8488
蜉蝣溯洄秋夜归,https://weibo.com/5989183567,爱的歌，泪的销售额,48分钟前,1,0,0,0.4212
