rhymes_word,count,song,song_num,rhymes_this
唱,1938,费玉清-奈何、 容中尔甲-九寨之恋、 谭晶-春韵、 徐小凤-恭喜发财、 林子祥-追寻,2271.0,ang
希望,1801,田震-我踏浪而来、 孙淑媚-不通将阮放、 梁汉文-烟火旅馆、 龙飘飘-爱在那里爱、 黄义达-等边三角,1060.0,ang
模样,1506,林忆莲-苦难中的少年、 彭羚-板凳、 赵鹏-卜奎大街、 洛天依-LITTUS~海之彼岸、 李健-松花江,892.0,ang
长,1480,黄莺莺-不了情、 陈洁仪-倔强、 满文军-最近最远的人、 柯以敏-答应我好吗、 邰肇玫-花童,3886.0,ang
歌唱,1436,容中尔甲-九寨之恋、 白玛多吉-天上西藏、 赵鑫-我是歌手、 李健-松花江、 周璇-交换,693.0,ang
远方,1417,陈慧琳-离开、 雷佳-天坛之约、 奶猴子-滑板鞋、 陈小云-该是离别的时候、 李幸倪-抱梦而活,737.0,ang
伤,1416,田震-我踏浪而来、 向蕙玲-永远拢同款、 林忆莲-苦难中的少年、 满文军-最近最远的人、 阿悄-小背叛,6985.0,ang
悲伤,1306,龙飘飘-爱在那里爱、 林翠萍-飘浪之女、 林淑容-我怎麽哭了、 黄思婷-漂浪之女、 陈淑桦-失乐园,738.0,ang
天堂,1296,梁汉文-烟火旅馆、 容中尔甲-九寨之恋、 何星烁RapStar-这四年、 李维-让、 白玛多吉-天上西藏,664.0,ang
流浪,1284,田震-我踏浪而来、 梁汉文-烟火旅馆、 黎明-不羁的感情、 张敬轩-绯荔榭•少年、 馨予-火柴天堂,720.0,ang
遗忘,1093,黄义达-等边三角、 陈淑桦-失乐园、 童安格-努力就是希望、 张学友-Love、 西瓜Kune-芳华春常在,598.0,ang
翅膀,1051,柯以敏-答应我好吗、 林宥嘉-推动摇篮的手、 黎明-明日世界更漂亮、 赵鑫-我是歌手、 洛天依-LITTUS~海之彼岸,552.0,ang
这样,1041,林淑容-我怎麽哭了、 夏天Alex-爱河 、 赵咏华-喜欢、 梁静茹-我喜欢、 音频怪物-初恋,518.0,ang
身边,4173,张宇-合影留念、 黄小琥-回到从前、 何星烁RapStar-星、 刘紫玲-梦江南、 周璇-许我向你看,2100.0,ian
脸,3195,阿悄-小背叛、 大哲-不朽之光、 彭青-这么近那么远、 张洪量-心碎、 樊桐舟-雪花,3237.0,ian
一天,2941,陈松伶-其实我总不甘心、 乌兰图雅-红红火火中国年、 彭青-这么近那么远、 黎明-只要为我爱一天、 康康-文明村之歌,1539.0,ian
改变,2710,黄小琥-回到从前、 郑少秋-不想再改变、 王馨平-穿过你的黑发我的手、 徐小凤-不夜城传奇、 那英-醒时作梦,1477.0,ian
再见,1964,柯以敏-答应我好吗、 彭青-这么近那么远、 林淑容-我怎麽哭了、 李克勤-投奔爱海 - Album Version、 潘玮柏-Kiss Night,1078.0,ian
天,1811,陈松伶-其实我总不甘心、 乌兰图雅-红红火火中国年、 谭咏麟-感情回归、 梁汉文-烟火旅馆、 黄小琥-回到从前,12617.0,ian
时间,1735,刘若英-一辈子的孤单、 孙燕姿-天使的指纹、 卓依婷-你看你看月亮的脸、 张智成-Toy Boy、 侃侃-想念,1050.0,ian
从前,1590,黄小琥-回到从前、 夏天Alex-漂流、 金城武-勇敢的说再见、 金莎-失眠、 龙飘飘-岁月的歌,822.0,ian
明天,1481,黄小琥-回到从前、 聂禹-江湖狗血馆、 夏天Alex-盘旋、 蔡依林-我依然是你的情人+剪爱、 钟镇涛-日日是好日,800.0,ian
变,1459,陈绮贞-鱼、 黄小琥-回到从前、 许志安-了不起、 黄凯芹-再遇、 谢安琪-独家村,4178.0,ian
一点,1357,陶晶莹-你本来就美、 刘若英-一辈子的孤单、 吴倩莲-来点伤心的音乐、 童安格-唯独有我、 黄雅莉-年轮,1001.0,ian
出现,1284,张洪量-心碎、 刘若英-一辈子的孤单、 陈奕迅-1个2个3个4个、 李克勤-丝丝雨线、 郑伊健-快相,765.0,ian
间,1275,孙淑媚-不通将阮放、 柯以敏-答应我好吗、 彭青-这么近那么远、 刘若英-一辈子的孤单、 吴倩莲-来点伤心的音乐,3726.0,ian
相见,1222,青山-酒醒梦已残、 童安格-唯独有我、 容祖儿-天窗、 侃侃-想念、 龙飘飘-贝壳船,717.0,ian
发现,1085,光良-单恋、 杨千嬅-风采依然、 郭静-看见、 卢广仲-开心餐厅、 崔子格-招财猫,665.0,ian
甜,1067,向蕙玲-永远拢同款、 关淑怡-自言自语、 陈百强-谁能忘记、 陈瑞-鱼水情歌、 米线-天脉传奇,2043.0,ian
眼前,1051,张洪量-昙花、 青山-酒醒梦已残、 夏天Alex-漂流、 陈奕迅-在你身边 、 罗志祥-潜意识失控,653.0,ian
面,1043,张宇-合影留念、 彭青-这么近那么远、 龙飘飘-雪里红、 张洪量-心碎、 林忆莲-无声约会,4366.0,ian
走,6535,Tank-是谁、 赵鹏-如果这都不算爱、 曾淑勤-守侯、 谭咏麟-感情回归、 钟镇涛-如你说以后,5551.0,ou
时候,4310,柯以敏-答应我好吗、 许嵩-幻听、 甄妮-追球追球、 林淑容-我怎麽哭了、 高凌风-追求,2043.0,ou
手,3668,陈绮贞-鱼、 郭子-亲爱的妈咪、 钟镇涛-如你说以后、 容祖儿-新贵、 谭晶-春韵,5395.0,ou
温柔,3521,曾淑勤-守侯、 容祖儿-新贵、 柯以敏-答应我好吗、 苏慧伦-是你爱得不够、 许嵩-幻听,1807.0,ou
回头,2577,郭子-亲爱的妈咪、 许嵩-幻听、 林淑容-我怎麽哭了、 阿强-情难枕、 陈明真-没有爱我就不能飞,1268.0,ou
自由,2252,容祖儿-新贵、 何星烁RapStar-星、 林宥嘉-推动摇篮的手、 陈冠希-怕 Introducing The Balliticians、 许茹芸-My Own True Love,1294.0,ou
朋友,1888,左小祖咒-钱歌、 甄妮-追球追球、 毕书尽-好想要、 孙耀威-情愿一个人、 乔洋-交个朋友,1117.0,ou
理由,1811,郑秀文-至理名言、 乔洋-交个朋友、 彭靖惠-垃圾桶、 周传雄-也许明天、 张蔷-愫,931.0,ou
以后,1695,钟镇涛-如你说以后、 樊桐舟-童话、 林志颖-台北神话、 卓依婷-天使在夜里哭、 陈明真-论错,863.0,ou
拥有,1464,罗文-言不由衷、 陈明真-没有爱我就不能飞、 陈绮贞-距离、 小柯-爱过以后、 龙飘飘-岁月的歌,790.0,ou
尽头,1354,许茹芸-却上心头、 李克勤-在我身边 - Album Version、 萧敬腾-到不了的地方、 苏有朋-天地一沙鸥、 金志文-夏洛特烦恼,740.0,ou
分手,1298,何星烁RapStar-这四年、 任然-疑心病、 周传雄-也许明天、 雨天-给我一个不伤心的理由、 孙露-十年,683.0,ou
愁,1227,钟镇涛-如你说以后、 许茹芸-却上心头、 高胜美-情琴、 孙露-拂袖、 孙耀威-情愿一个人,1565.0,ou
放手,1223,容祖儿-新贵、 王力宏-流泪手心、 郑秀文-至理名言、 潘玮柏-Kiss Night、 李玟-I Just Wanna Marry U,681.0,ou
后,1125,钟镇涛-如你说以后、 彭青-这么近那么远、 乔洋-我沿着悲伤、 崔子格-老公让我为你捶捶背、 樊桐舟-童话,4137.0,ou
感受,1122,孙耀威-情愿一个人、 乔洋-交个朋友、 彭靖惠-垃圾桶、 罗大佑-飞车、 本兮-怎么办我想你,643.0,ou
心头,1102,高胜美-情琴、 孙露-拂袖、 赵鹏-中华民谣、 乔洋-交个朋友、 张德兰-日月轮回,634.0,ou
有,1026,容祖儿-新贵、 吕研熙-意外、 李荣浩-裙姊、 高凌风-老爷车、 周华健-身在梁山,4230.0,ou
所有,1013,何星烁RapStar-这四年、 孙耀威-情愿一个人、 卓依婷-滚滚红尘、 许廷铿-岁月、 许茹芸-舍不得,665.0,ou
来,5679,张蔷-今夜不眠、 田震-我踏浪而来、 张智成-迷魂阵、 乌兰图雅-红红火火中国年、 费玉清-渡江千里,7171.0,ai
在,2963,Tank-是谁、 赵鹏-如果这都不算爱、 张蔷-今夜不眠、 关淑怡-自言自语、 满文军-最近最远的人,5632.0,ai
等待,2735,龙飘飘-爱在那里爱、 张敬轩-春天 、 卓依婷-浪迹天涯、 雷婷-我们的爱还在不在、 黄雅莉-年轮,1346.0,ai
开,2661,赵鹏-如果这都不算爱、 曾轶可-我们不是只有现在吗、 乌兰图雅-红红火火中国年、 徐小凤-唉!往事何苦提、 吕研熙-意外,6514.0,ai
未来,2512,黎明-只要为我爱一天、 卫兰-爱在天地动摇时、 游鸿明-情愿孤单、 雷婷-我们的爱还在不在、 小虫-心太软,1285.0,ai
离开,2238,吕研熙-意外、 徐小凤-恭喜发财、 刘若英-一辈子的孤单、 游鸿明-情愿孤单、 雷婷-我们的爱还在不在,1129.0,ai
明白,2063,郑智化-我的、 游鸿明-情愿孤单、 雷婷-我们的爱还在不在、 蔡依林-说爱你、 弦子-给我你的手,1225.0,ai
回来,1876,张智成-迷魂阵、 雷婷-我们的爱还在不在、 许志安-对你的爱还依然在、 游鸿明-无人知晓的雨丝、 侃侃-想念,827.0,ai
海,1487,田震-我踏浪而来、 刘家昌-海鸥、 黄义达-匿名的宝贝、 容中尔甲-九寨之恋、 龙飘飘-爱在那里爱,3820.0,ai
起来,1412,乌兰图雅-红红火火中国年、 徐小凤-恭喜发财、 龙飘飘-是你还是我、 尚雯婕-有了爱、 陈思安-小城故事,576.0,ai
存在,1352,Tank-是谁、 张蔷-今夜不眠、 郑智化-我的、 雷婷-爱你的方式、 雷婷-我们的爱还在不在,850.0,ai
期待,1348,黎明-只要为我爱一天、 蔡依林-说爱你、 陈绮贞-距离、 阿兰-遇见、 王菲-推翻,737.0,ai
出来,1197,吕研熙-意外、 许志安-对你的爱还依然在、 弦子-给我你的手、 高林生-精彩人生、 李玲玉-小秘密,572.0,ai
伤害,1039,满文军-最近最远的人、 雷婷-我们的爱还在不在、 王力宏-CrossFire、 许志安-对你的爱还依然在、 孙露-死而无憾,658.0,ai
精彩,1037,乌兰图雅-红红火火中国年、 吕研熙-意外、 孙露-死而无憾、 弦子-给我你的手、 张冬玲-在等待,554.0,ai
去,5209,董文华-望星空、 向蕙玲-永远拢同款、 许茹芸-给我一分钟不想你、 李荣浩-裙姊、 费玉清-庭院深深,6872.0,u
路,3000,阿兰-迷失的礼福、 曾淑勤-守侯、 梁汉文-烟火旅馆、 龙飘飘-雪里红、 张国荣-Crazy Rock,3921.0,u
过去,2557,李荣浩-裙姊、 陈慧琳-离开、 陈盈洁-笑笑放乎开、 张信哲-其实快乐很容易、 徐小凤-不夜城传奇,1417.0,u
幸福,2524,阿兰-迷失的礼福、 梁咏琪-气流、 苏有朋-逃兵、 许志安-对你的爱还依然在、 龙飘飘-离情,1249.0,u
雨,1860,徐小凤-唉!往事何苦提、 钟镇涛-如你说以后、 彭青-这么近那么远、 谭晶-春韵、 毛阿敏-投入地爱一次,3181.0,u
哭,1731,张信哲-难道、 梁咏琪-气流、 苏慧伦-是你爱得不够、 张清芳-呼喊快乐、 许茹芸-没有你的圣诞节,2044.0,u
孤独,1492,阿兰-迷失的礼福、 邰肇玫-花童、 包娜娜-三百六十五里路、 周传雄-寂寞无助、 张靓颖-无字碑,822.0,u
离去,1354,董文华-望星空、 胡彦斌-不是不想、 陈冠希-I Never Told You、 常石磊-花儿为什么这样红、 周传雄-也许明天,763.0,u
清楚,1180,阿兰-迷失的礼福、 梁咏琪-气流、 谭咏麟-傲骨、 卓依婷-天使在夜里哭、 李克勤-丝丝雨线,1000.0,u
苦,1086,黄莺莺-不了情、 阿兰-迷失的礼福、 龙飘飘-雪里红、 林忆莲-决绝、 黄思婷-般若波罗密多心经,2748.0,u
在乎,1084,周传雄-寂寞无助、 夏天Alex-爱河 、 李玟-I Just Wanna Marry U、 张蔷-愫、 彭清-冰吻,553.0,u
下去,1082,韩宝仪-又是细雨、 胡彦斌-不是不想、 梁汉文-掯、 辛晓琪-第几次爱上你、 本兮-怎么办我想你,643.0,u
结局,1042,梁咏琪-气流、 樊桐舟-童话、 陈瑞-情坎、 雷婷-情坎、 蔡依林-说爱你,576.0,u
相遇,1014,陈百强-谁能忘记、 陈瑞-情坎、 雷婷-情坎、 平安-云淡风轻、 丁咚-遍体鳞伤,567.0,u
吗,6314,曾轶可-我们不是只有现在吗、 蔡卓妍-薄雾、 许志安-了不起、 柯以敏-答应我好吗、 郑伊健-怕甚么，甚么都不怕,2097.0,a
吧,6027,陈绮贞-鱼、 陈洁仪-倔强、 蔡卓妍-薄雾、 许志安-了不起、 郑智化-我的,2235.0,a
呀,4153,樊桐舟-雪花、 黄雅莉-年轮、 董文华-玛依拉、 家家-家、 萨顶顶-小树和大树,1146.0,a
他,3732,陈绮贞-鱼、 许志安-了不起、 容中尔甲-九寨之恋、 谢霆锋-了结他、 黄义达-等边三角,1598.0,a
啦,2728,七郎-盼仔假兄弟、 米线-天脉传奇、 林俊杰-突然累了、 聂禹-江湖狗血馆、 陈雷-随在你啦,921.0,a
她,2445,童安格-耶利亚女郎、 葛兰-教我如何不想她、 杜德伟-四十八小时、 邰肇玫-早餐的玛丽亚、 姜育恒-泪的小花,878.0,a
天涯,1063,容中尔甲-九寨之恋、 龙飘飘-爱在那里爱、 米线-天脉传奇、 孙露-死而无憾、 苏芮-蜗牛的家,808.0,a
爱情,2805,胡夏-黑框眼镜、 徐小凤-唉!往事何苦提、 张洪量-昙花、 李荣浩-裙姊、 王筝-爱情一直在经过,1456.0,ing
情,2464,张信哲-难道、 董文华-望星空、 胡夏-黑框眼镜、 李荣浩-模特、 徐小凤-唉!往事何苦提,10273.0,ing
眼睛,2267,张信哲-难道、 董文华-望星空、 王力宏-流泪手心、 尚雯婕-有了爱、 苏有朋-逃兵,1382.0,ing
心情,1558,董文华-望星空、 许茹芸-没有你的圣诞节、 黄妃-黄昏的故乡、 陈雷-切抹熄的灯火、 平安-云淡风轻,931.0,ing
听,1501,陈百强-亲爱的你、 林忆莲-无声约会、 黎明-只要为我爱一天、 陈影-约定、 那英-醒时作梦,1864.0,ing
感情,1150,甄楚倩-外借恋情、 黎明-不羁的感情、 甄妮-我们的对手戏、 本兮-怎么办我想你、 张蔷-愫,656.0,ing
行,1096,胡夏-黑框眼镜、 乔洋-我沿着悲伤、 苏芮-没有就没有、 何星烁RapStar-星、 童丽-远山含笑,2725.0,ing
人,11060,陶晶莹-你本来就美、 蔡琴-出人头地、 孙淑媚-不通将阮放、 张智成-迷魂阵、 李荣浩-裙姊,8675.0,en
深,2112,董文华-望星空、 陈松伶-其实我总不甘心、 黎明-只要为我爱一天、 孙燕姿-天使的指纹、 张清芳-呼喊快乐,3018.0,en
真,1626,张信哲-难道、 邰正宵-执迷不悔、 光良-勇气、 崔子格-老公让我为你捶捶背、 苏芮-没有就没有,3790.0,en
吻,1570,梁汉文-掯、 张信哲-找钥匙、 李克勤-一生不爱别人、 周慧敏-冬日浪漫、 黎明-明日世界更漂亮,1234.0,en
女人,1244,张信哲-找钥匙、 郭富城-声音、 陈瑞-为爱流泪的女人、 杨坤-一万个女人、 黄莺莺-天使的指纹,454.0,en
问,1045,陈松伶-其实我总不甘心、 容祖儿-新贵、 苏芮-没有就没有、 左小祖咒-钱歌、 彭羚-我不要,2172.0,en
好,5127,Tank-是谁、 黄莺莺-不了情、 乌兰图雅-红红火火中国年、 郑国锋-停不了、 谢安琪-独家村,5250.0,ao
知道,3972,陈瑞-正好、 黄义达-等边三角、 樊桐舟-雪花、 许廷铿-人曲、 林凡-不一定,1834.0,ao
着,3390,张信哲-难道、 张蔷-今夜不眠、 李荣浩-模特、 陈盈洁-笑笑放乎开、 张信哲-其实快乐很容易,3009.0,ao
老,1864,黄莺莺-不了情、 陈瑞-正好、 左小祖咒-钱歌、 童安格-耶利亚女郎、 Mc轩颜-十六岁的时光,1894.0,ao
拥抱,1721,黄莺莺-不了情、 陈瑞-正好、 王力宏-流泪手心、 林志美-月影、 任然-醉红楼,989.0,ao
重要,1331,康康-文明村之歌、 曹方-在、 张学友-Love、 王心凌-糖罐子、 许冠杰-蓝天消失了,684.0,ao
到,1249,Tank-是谁、 张蔷-今夜不眠、 郑国锋-停不了、 费玉清-渡江千里、 陈洁仪-倔强,3174.0,ao
中,4626,董文华-望星空、 张智成-迷魂阵、 徐小凤-唉!往事何苦提、 深七-我就在你身后、 郑智化-我的,4516.0,ong
痛,2393,钟镇涛-让一切随风、 孙淑媚-不通将阮放、 深七-我就在你身后、 梁咏琪-气流、 苏慧伦-是你爱得不够,3498.0,ong
懂,2331,容祖儿-新贵、 邰肇玫-花童、 苏慧伦-是你爱得不够、 樊桐舟-童话、 许嵩-幻听,1553.0,ong
天空,1716,王力宏-流泪手心、 许茹芸-没有你的圣诞节、 满江-多变的海、 邰正宵-心弦、 谢安琪-我 ,1057.0,ong
笑容,1633,吴倩莲-来点伤心的音乐、 庾澄庆-下个雨季、 陈淑桦-真实的面孔、 李翊君-只有自己伤心最适合、 梁静茹-绣花,940.0,ong
感动,1467,丁当-不是你的错、 许嵩-幻听、 郑秀文-至理名言、 蔡依林-说爱你、 陈势安-嘿亲爱的,798.0,ong
心中,1358,董文华-望星空、 深七-我就在你身后、 郑智化-我的、 何星烁RapStar-星、 罗文-言不由衷,897.0,ong
空,1257,谭咏麟-感情回归、 谢安琪-独家村、 陈百强-谁能忘记、 梁咏琪-气流、 庞龙-一个人的公园,4873.0,ong
红,1017,龙飘飘-雪里红、 林翠萍-飘浪之女、 卓依婷-谁料皇榜中状元、 白雪-秋水红颜、 黄思婷-漂浪之女,1662.0,ong
心痛,1009,"钟镇涛-让一切随风、 深七-我就在你身后、 黄小琥-爱人已远走、 ""郑秀文-Its Too Late""、 Mc轩颜-十六岁的时光",520.0,ong
了,16768,黄莺莺-不了情、 潘秀琼-莫忘今宵、 许志安-了不起、 丁当-不是你的错、 张洪量-昙花,7049.0,e
的,8716,陈绮贞-鱼、 向蕙玲-永远拢同款、 费玉清-奈何、 丁当-不是你的错、 黄贯中-存在,3897.0,e
什么,5507,李荣浩-模特、 谭咏麟-感情回归、 郭子-亲爱的妈咪、 深七-我就在你身后、 张敬轩-春天 ,2813.0,e
快乐,3929,甄楚倩-外借恋情、 古巨基-幸福号列车、 甄妮-追球追球、 刘若英-训练、 高凌风-追求,1991.0,e
夜,1200,甄楚倩-外借恋情、 张洪量-昙花、 彭青-这么近那么远、 张国荣-Crazy Rock、 黎明-只要为我爱一天,3479.0,e
我,34454,Tank-是谁、 陈绮贞-鱼、 董文华-望星空、 张智成-迷魂阵、 谭咏麟-感情回归,12566.0,o
寂寞,4349,田震-我踏浪而来、 苏慧伦-是你爱得不够、 王力宏-流泪手心、 吴倩莲-来点伤心的音乐、 孙燕姿-天使的指纹,2247.0,o
哟,1755,费玉清-渡江千里、 龚玥-花楼恋歌、 龙飘飘-月光下的凤尾竹、 谭维维-康定情歌与溜溜调、 蒋大为-山里人唱山歌,400.0,o
沉默,1385,苏慧伦-是你爱得不够、 吴倩莲-来点伤心的音乐、 郑秀文-至理名言、 高凌风-追求、 陈粒-祝星,893.0,o
折磨,1029,深七-我就在你身后、 刘紫玲-无言的温柔、 陈娟儿-你寂寞才找我、 陈雷-随在你啦、 黄品源-孤单爱情海,557.0,o
孤单,1908,黄凯芹-再遇、 刘若英-一辈子的孤单、 童丽-远山含笑、 高胜美-情人山、 游鸿明-情愿孤单,1080.0,an
眼,1230,张信哲-难道、 董文华-望星空、 张宇-合影留念、 梁汉文-烟火旅馆、 黄义达-匿名的宝贝,7176.0,an
看,1189,胡夏-黑框眼镜、 陈洁仪-倔强、 甄楚倩-外借恋情、 许志安-了不起、 童丽-月亮湾,3463.0,an
遗憾,1060,游鸿明-情愿孤单、 刘若英-训练、 陈淑桦-失乐园、 孙露-死而无憾、 李克勤-一生不爱别人,637.0,an
誓言,1026,郑秀文-旧项链、 亦勋-回到十七岁的那一年、 米线-读你、 心然-千年缘、 萧亚轩-想念圣诞节,568.0,an
双眼,1008,金莎-失眠、 任贤齐-杀手锏、 黄征-全世界看到、 阿兰-龙女 、 米雅-爱一回伤一回,608.0,an
夜晚,1003,高胜美-情人山、 周杰伦-忍者、 潘玮柏-Kiss Night、 聂禹-江湖狗血馆、 李健-依然在路上,535.0,an
谁,5280,陶晶莹-你本来就美、 陈松伶-其实我总不甘心、 黄义达-匿名的宝贝、 张卫健-寂寞伴侣、 乔洋-我沿着悲伤,2139.0,ui
醉,1666,张卫健-寂寞伴侣、 崔子格-老公让我为你捶捶背、 杨栋梁-无比的唯美、 那英-醒时作梦、 那英-一切都变了,1983.0,ui
后悔,1642,崔子格-老公让我为你捶捶背、 雷婷-你的爱给了谁、 范玮琪-一半的我、 陈小云-一缕相思情+飘香梦+梨花泪、 郑中基-被爱是幸福,868.0,ui
心碎,1510,陈百强-谁能忘记、 张洪量-心碎、 李维-女人的选择、 范玮琪-一半的我、 张靓颖-无字碑,803.0,ui
追,1399,阿兰-迷失的礼福、 张卫健-寂寞伴侣、 费玉清-庭院深深、 苏芮-没有就没有、 雷婷-你的爱给了谁,1972.0,ui
对,1228,陶晶莹-你本来就美、 张智成-迷魂阵、 黄义达-匿名的宝贝、 张卫健-寂寞伴侣、 乔洋-我沿着悲伤,3655.0,ui
回,1191,Tank-是谁、 胡夏-黑框眼镜、 张智成-迷魂阵、 郭子-亲爱的妈咪、 许志安-了不起,7968.0,ui
吹,1015,张卫健-寂寞伴侣、 卓依婷-爱一个人好难、 曾路得-你又可知我、 李翊君-我的感情博这厚、 刘紫玲-无言的温柔,1005.0,ui
面对,1014,龙飘飘-是你还是我、 雷婷-你的爱给了谁、 苏有朋-逃兵、 谢容儿-哭不好的伤、 郭静-看见,622.0,ui
多,6378,陶晶莹-你本来就美、 陈洁仪-倔强、 郭子-亲爱的妈咪、 梁咏琪-气流、 黎明-只要为我爱一天,5376.0,uo
说,5247,Tank-是谁、 陈绮贞-鱼、 张蔷-今夜不眠、 曾淑勤-守侯、 黄凯芹-再遇,5298.0,uo
错,3617,黄莺莺-不了情、 曾淑勤-守侯、 谭咏麟-感情回归、 郭子-亲爱的妈咪、 黄凯芹-再遇,3334.0,uo
生活,2243,崔子格-老公让我为你捶捶背、 雷佳-江边有个湘潭县、 杨千嬅-BOOM BA EH、 何星烁RapStar-这四年、 孙耀威-情愿一个人,1271.0,uo
做,1221,黎明-只要为我爱一天、 许嵩-幻听、 苏芮-没有就没有、 何星烁RapStar-星、 许冠杰-香港制造,1367.0,uo
